"name";"email";"gpa";"id_number";"emergency_contact";"personal_address";"password"
"Nicole Garcia";"nicole.garcia@unc.edu";2.73;"ID0024";"9477752047";"7190 Edward Port, Christopherbury, OH 55049";"nicole21"
"Lisa Rowe";"lisa.rowe@unc.edu";3.34;"ID0025";"(774)964-9909x1334";"28120 Hayes Ranch, Carterbury, VT 37557";"lisa39"
"Andrea Hall";"andrea.hall@unc.edu";3.3;"ID0026";"936-183-2421x024";"1746 Mason Park Suite 190, Navarroview, CO 30506";"andrea73"
"Laura Sampson";"laura.sampson@unc.edu";3.07;"ID0027";"001-490-278-7429x67175";"125 Steele Heights Suite 807, West Johnnyville, MO 67950";"laura74"
"Mary Daniels MD";"mary.daniels.md@unc.edu";2.33;"ID0028";"859.770.3482";"PSC 7710, Box 9324, APO AP 02293";"mary20"
"Danny Skinner";"danny.skinner@unc.edu";3.85;"ID0029";"712-748-4677";"3982 Joshua Turnpike, Morganhaven, AL 37573";"danny10"
"Kevin Duarte";"kevin.duarte@unc.edu";3.37;"ID0030";"278.755.8867x5339";"57662 Hanna Crossroad Suite 171, Smithberg, SD 20733";"kevin17"
"Wayne Morgan";"wayne.morgan@unc.edu";2.46;"ID0031";"001-615-865-7809x134";"Unit 1611 Box 7240, DPO AE 43017";"wayne96"
"Ian Jordan";"ian.jordan@unc.edu";3.61;"ID0032";"869.222.1969";"237 Stevens Shores Apt. 748, North Scott, OR 39711";"ian93"
"Melissa Bryant";"melissa.bryant@unc.edu";2.42;"ID0033";"367-136-9594x4064";"743 Robinson Field, Ericaberg, CT 82743";"melissa87"
"Richard Johnson";"richard.johnson@unc.edu";2.63;"ID0034";"(214)562-3285x884";"4517 Donald Fork Suite 851, Smithside, NH 48812";"richard58"
"Deborah James";"deborah.james@unc.edu";3.77;"ID0035";"+1-513-709-8593x1746";"47113 Paul Land, Matthewsberg, MT 86342";"deborah61"
"Lisa Crosby";"lisa.crosby@unc.edu";2.53;"ID0036";"053-773-5158x506";"1390 Kristin Gardens, Port Anne, WV 73142";"lisa49"
"Robin Hall";"robin.hall@unc.edu";3.49;"ID0037";"001-290-422-8421x02053";"40268 Julie Mountains, Stricklandhaven, CT 59746";"robin13"
"Luis Acosta";"luis.acosta@unc.edu";3.17;"ID0038";"+1-847-007-6617x71159";"9985 Vang Pines, Shawnchester, WY 92484";"luis27"
"Marilyn Mack";"marilyn.mack@unc.edu";2.44;"ID0039";"001-367-365-7661x5654";"711 Christopher Court, Lisaside, OR 74109";"marilyn14"
"Bryan Gomez";"bryan.gomez@unc.edu";3.02;"ID0040";"+1-604-945-1983x27315";"49368 Chelsea Shoals Suite 024, Sandrastad, HI 19277";"bryan99"
"Andrea Figueroa";"andrea.figueroa@unc.edu";3.51;"ID0041";"1836675254";"22901 Ramos Manors, Lawsonchester, IL 99452";"andrea54"
"Jeffrey Campbell";"jeffrey.campbell@unc.edu";2.31;"ID0042";"+1-978-403-6900x34324";"76226 Vincent Village, Charleston, AK 60761";"jeffrey85"
"Erik Patterson";"erik.patterson@unc.edu";3.58;"ID0043";"(641)605-2975x1613";"164 Walker Tunnel Apt. 181, Port Michael, SD 19859";"erik65"
"David Thompson";"david.thompson@unc.edu";2.77;"ID0044";"(127)799-7995";"71774 Vargas Knoll Apt. 477, North Miguelport, SD 12336";"david32"
"Janice Carpenter";"janice.carpenter@unc.edu";3.06;"ID0045";"001-079-359-7820x7151";"37788 Michael Haven, Ortizmouth, PA 07364";"janice91"
"Felicia Rivera";"felicia.rivera@unc.edu";2.02;"ID0046";"+1-644-925-1925";"91486 Li Skyway Apt. 685, West Kyleborough, WI 64237";"felicia79"
"Chad Jones";"chad.jones@unc.edu";3.77;"ID0047";"888-059-2962";"706 Rhodes Freeway, Bishopmouth, ND 31849";"chad23"
"Rachel Mckee";"rachel.mckee@unc.edu";2.68;"ID0048";"597.746.8862";"0758 Jennifer Path, West Christopherburgh, NV 67787";"rachel12"
"Anna Lozano";"anna.lozano@unc.edu";2.91;"ID0049";"506.068.5361x530";"522 Justin Village, Hortonberg, VT 61988";"anna41"
"Susan Smith";"susan.smith@unc.edu";2.53;"ID0050";"289.861.4341";"971 Mary Parks Apt. 893, West Ruben, MI 32032";"susan84"
"Matthew Miller";"matthew.miller@unc.edu";3.02;"ID0051";"(188)888-0670x654";"53195 Bradley Plains Suite 277, Port Dennis, WI 60489";"matthew72"
"Andrew Gonzalez";"andrew.gonzalez@unc.edu";3.74;"ID0052";"5486874034";"541 Kim Locks, Klinefurt, HI 65539";"andrew87"
"Tim Stone PhD";"tim.stone.phd@unc.edu";3.02;"ID0053";"001-616-928-4511x5447";"75705 Hill Turnpike Apt. 165, North Douglas, TX 57933";"tim63"
"David Brewer";"david.brewer@unc.edu";2.31;"ID0054";"(690)927-5571x928";"431 Jill Parks Suite 814, Janeborough, LA 91462";"david60"
"Mrs. Brandy Jones MD";"mrs..brandy.jones.md@unc.edu";3.08;"ID0055";"001-715-518-8442x258";"37058 Mcdonald Plaza, New Nicole, ME 52688";"mrs.48"
"Kelly Hammond";"kelly.hammond@unc.edu";3.2;"ID0056";"001-125-177-8528";"68018 Kevin Estates, Sarahbury, NC 37731";"kelly62"
"Craig Huber";"craig.huber@unc.edu";3.86;"ID0057";"249-818-2992x299";"10943 Montgomery Burgs, Smallside, SD 40097";"craig11"
"Robert Sullivan";"robert.sullivan@unc.edu";2.48;"ID0058";"102.767.7359x255";"2588 Luis Mountain Apt. 473, North Brent, RI 55306";"robert18"
"Stephanie Li";"stephanie.li@unc.edu";2.17;"ID0059";"001-532-787-7470";"733 Williams Haven Suite 974, Port Danielberg, KS 95856";"stephanie22"
"Holly Morales";"holly.morales@unc.edu";3.96;"ID0060";"001-835-841-6878";"16558 Fischer Flat, Porterton, DC 94032";"holly85"
"Kelly Hernandez";"kelly.hernandez@unc.edu";2.26;"ID0061";"259.526.9495x88879";"5169 Robles Stream, New Thomasshire, IN 95056";"kelly92"
"Carolyn Fuller";"carolyn.fuller@unc.edu";2.33;"ID0062";"+1-623-091-3075x626";"970 April Points Suite 786, Suemouth, ND 45370";"carolyn20"
"Raymond Le";"raymond.le@unc.edu";2.85;"ID0063";"+1-497-334-8434x4375";"1986 Cardenas Trail Apt. 404, West Sandraview, NJ 28548";"raymond37"
"Denise Hoffman";"denise.hoffman@unc.edu";3.86;"ID0064";"219-933-0833x016";"20826 Woods Flats Suite 540, Lake Audreyside, VA 05389";"denise88"
"Jennifer Monroe";"jennifer.monroe@unc.edu";3.43;"ID0065";"6724004991";"PSC 5478, Box 8728, APO AA 36262";"jennifer94"
"Erin Simon";"erin.simon@unc.edu";3.3;"ID0066";"+1-420-549-3296x6851";"27530 Reyes Mission, Stephanieport, VA 75589";"erin70"
"Ian Young";"ian.young@unc.edu";2.9;"ID0067";"+1-174-268-4145x93327";"8783 Erin Ranch Apt. 878, Christianshire, AR 72282";"ian67"
"Laura Hernandez";"laura.hernandez@unc.edu";2.45;"ID0068";"871-397-1870x72867";"406 Velasquez Summit Apt. 910, Cooperland, AR 09547";"laura65"
"Dustin White";"dustin.white@unc.edu";3.11;"ID0069";"(656)766-1825";"230 Tiffany Mountain Suite 863, South Michael, ID 95531";"dustin43"
"Robert Barnes";"robert.barnes@unc.edu";2.14;"ID0070";"001-033-119-0790x30673";"84395 Young Wells, Lake Adriana, ME 36565";"robert46"
"Leslie Moss";"leslie.moss@unc.edu";2.13;"ID0071";"(687)056-8566";"87334 Linda Centers Suite 688, South John, MA 85266";"leslie44"
"Sarah Davis";"sarah.davis@unc.edu";3.72;"ID0072";"001-304-699-0139x8373";"0331 Rocha Square Apt. 638, Kimberlyfurt, ND 85530";"sarah90"
"Ian Andrade";"ian.andrade@unc.edu";3.03;"ID0073";"175.355.6093x204";"2353 Hudson Gardens Suite 854, Levyfort, GA 96546";"ian21"
"Charles Payne";"charles.payne@unc.edu";2.43;"ID0074";"(808)010-0623";"38750 Hopkins Brook, New Andreatown, NC 95160";"charles35"
"Donna Shaw";"donna.shaw@unc.edu";3.45;"ID0075";"001-621-182-3398x454";"6793 Kevin Views, Lake Victoriaton, MO 50211";"donna79"
"Amy Smith";"amy.smith@unc.edu";2.49;"ID0076";"(176)591-8033";"PSC 9740, Box 1489, APO AP 04813";"amy56"
"Emily Ali";"emily.ali@unc.edu";2.38;"ID0077";"001-261-429-3968";"185 Connor Fort, West Cassiefurt, MD 04384";"emily84"
"Willie Henry";"willie.henry@unc.edu";3.32;"ID0078";"(866)296-1943x114";"655 Christopher Inlet, Wardview, DC 11943";"willie47"
"Justin Hunt";"justin.hunt@unc.edu";2.93;"ID0079";"015-819-9560";"83982 Jackson Grove Suite 472, East Ryanchester, NJ 10583";"justin60"
"David Weber";"david.weber@unc.edu";3.31;"ID0080";"+1-937-124-0659x657";"5937 Thompson Locks, Kellyfort, WY 32276";"david92"
"Robert Long";"robert.long@unc.edu";2.81;"ID0081";"939-828-0737";"7243 Hopkins Stravenue, Mccormickland, PA 63315";"robert25"
"Jonathon Knapp";"jonathon.knapp@unc.edu";2.22;"ID0082";"001-680-589-1135x290";"6101 Walker Summit Apt. 756, Bartonshire, NY 20259";"jonathon52"
"Mrs. Elizabeth Knapp MD";"mrs..elizabeth.knapp.md@unc.edu";2.38;"ID0083";"001-254-573-8757x1775";"105 Erica Expressway, New Greg, MA 73881";"mrs.97"
"Crystal Sullivan";"crystal.sullivan@unc.edu";2.37;"ID0084";"(266)093-7966";"41918 Michael Flat, Wilsonfort, SC 41579";"crystal89"
"James Wilson";"james.wilson@unc.edu";3.85;"ID0085";"(792)499-1251x341";"669 Bailey Manors, South Cynthia, SD 23207";"james42"
"Dylan Lopez";"dylan.lopez@unc.edu";3.71;"ID0086";"905.072.3688x767";"2190 Kelly Harbor Apt. 842, Cunninghamfort, NY 15339";"dylan68"
"Reginald Morrow";"reginald.morrow@unc.edu";2.1;"ID0087";"(807)836-1340x745";"1339 Callahan Ridge, Martinberg, IL 27625";"reginald46"
"Gregory Campbell";"gregory.campbell@unc.edu";3.94;"ID0088";"+1-254-494-8126";"PSC 4223, Box 2536, APO AA 19135";"gregory13"
"Lori Brooks";"lori.brooks@unc.edu";2.33;"ID0089";"168-457-7590";"751 Robinson Meadow, South Joseph, LA 44771";"lori58"
"Kylie Washington";"kylie.washington@unc.edu";3.73;"ID0090";"001-701-2770x63242";"54152 Randy Inlet Apt. 611, East Thomasberg, IN 68585";"kylie64"
"Adam Cooper";"adam.cooper@unc.edu";2.33;"ID0091";"627-136-1115";"62218 Chelsey Expressway Suite 532, Jensenmouth, IL 11863";"adam12"
"Paul Lawrence";"paul.lawrence@unc.edu";3.97;"ID0092";"(565)234-1389x9940";"89836 Lucas Tunnel Apt. 761, South Danielle, NC 02082";"paul82"
"Bonnie Valencia";"bonnie.valencia@unc.edu";3.57;"ID0093";"001-658-271-0910";"68486 Miles Corner, West Christopher, NY 27134";"bonnie42"
"Gabriel Willis";"gabriel.willis@unc.edu";3.91;"ID0094";"001-146-303-1617x99042";"027 Mills Tunnel, Garyberg, WI 35728";"gabriel49"
"Patricia Johnson";"patricia.johnson@unc.edu";2.97;"ID0095";"(481)491-7785x07925";"138 Bradley Wall, East Brandonstad, FL 23957";"patricia69"
"Amanda Pratt";"amanda.pratt@unc.edu";2.59;"ID0096";"001-635-365-4195x180";"1744 Miller Motorway, West Jamesshire, ME 97438";"amanda16"
"Jacob Bonilla";"jacob.bonilla@unc.edu";3.16;"ID0097";"001-383-206-0385x05064";"7024 Bradley Fort, Haynesstad, WA 11629";"jacob75"
"Casey Wilkins";"casey.wilkins@unc.edu";2.63;"ID0098";"990-623-4456";"7431 Derek Trail Apt. 212, Owenschester, ND 47462";"casey31"
"Eric Baker";"eric.baker@unc.edu";3.17;"ID0099";"124-903-5213";"Unit 6804 Box 4206, DPO AA 73370";"eric73"
"Anna Garcia";"anna.garcia@unc.edu";3.06;"ID0100";"(100)323-6519";"13721 Martinez Mountain, East Sandrachester, VA 52274";"anna30"
